fecha_generacion,fecha_prediccion,precio_actual_fnc,precio_estimado,precio_minimo,precio_maximo,variacion_porcentual,modelo,estrategia,holdout_mape,holdout_mae,tendencia,estrategia_base,fecha_prediccion_original,salto_fin_semana,presion_mercado,factor_presion
2026-05-05,2026-05-06,2322000,2322000,2297700,2346300,0.0,fnc_hibrido,naive,1.0862,24263.16,,,,,,
2026-05-06,2026-05-07,2283000,2283000,2256300,2309700,0.0,fnc_hibrido,naive,1.1919,26666.67,estable,,,,,
2026-05-07,2026-05-08,2217000,2207300,2162800,2251800,-0.44,fnc_hibrido,ensemble_ponderado,1.977,44466.88,baja,naive,,,,
2026-05-08,2026-05-09,2230000,2230000,2230000,2230000,0.0,fnc_hibrido,ensemble_ponderado,1.6091,36308.67,estable,naive,,,,
2026-05-12,2026-05-13,2300000,2287200,2246600,2327800,-0.56,fnc_hibrido,ensemble_ponderado,1.7897,40570.23,baja,naive,2026-05-13,0.0,,
2026-05-13,2026-05-14,2303000,2312800,2274700,2350900,0.43,fnc_hibrido,ensemble_ponderado,1.6775,38128.24,sube,naive,2026-05-14,0.0,,
2026-05-14,2026-05-15,2268000,2215000,2182700,2247300,-2.34,fnc_hibrido,ensemble_ponderado,1.4233,32320.26,baja,naive,2026-05-15,0.0,-5.19,
2026-05-15,2026-05-18,2212000,2150100,2119000,2181200,-2.8,fnc_hibrido,ensemble_ponderado,1.3675,31076.16,baja,naive,2026-05-16,1.0,-6.98,
2026-05-17,2026-05-18,2212000,2150100,2116400,2183800,-2.8,fnc_hibrido,ensemble_ponderado,1.4896,33735.15,baja,naive,2026-05-18,0.0,-8.74,
2026-05-18,2026-05-19,2192000,2147300,2116200,2178400,-2.04,fnc_hibrido,ensemble_ponderado,1.3738,31121.47,baja,naive,2026-05-19,0.0,-4.53,
2026-05-19,2026-05-20,2223000,2217400,2176700,2258100,-0.25,fnc_hibrido,ensemble_ponderado,1.5106,40707.1,estable,naive,2026-05-20,0.0,-1.64,0.45
2026-05-20,2026-05-21,2200000,2196200,2157100,2235300,-0.17,fnc_hibrido,ensemble_ponderado,1.3737,39139.97,estable,naive,2026-05-21,0.0,-0.45,0.25
