ds,precio_interno,bolsa_ny,trm_fnc,mecic,extraido_en
2026-06-01,2060000,260.6,3554.5,0.0,2026-06-01T15:10:41
2026-06-02,2065000,259.2,3579.7,0.0,2026-06-02T15:14:42
2026-06-03,2030000,253.1,3566.05,0.0,2026-06-03T23:12:13
2026-06-04,2005000,247.15,3561.8,0.0,2026-06-04T17:22:09
2026-06-05,2017000,246.5,3590.75,0.0,2026-06-05T13:37:21
2026-06-08,2015000,245.9,3590.75,0.0,2026-06-08T23:51:03
2026-06-09,2005000,244.4,3569.7,0.0,2026-06-09T14:29:37
2026-06-10,2020000,248.4,3550.0,0.0,2026-06-10T15:29:44
2026-06-11,2030000,253.95,3493.5,0.0,2026-06-11T16:35:42
2026-06-12,2030000,257.2,3455.0,0.0,2026-06-12T17:18:07
2026-06-15,2064000,262.95,3455.0,0.0,2026-06-15T20:05:50
2026-06-16,2130000,277.25,3421.17,0.0,2026-06-16T19:38:45
2026-06-17,2140000,277.85,3448.7,0.0,2026-06-17T22:16:01
2026-06-18,2110000,275.1,3441.0,0.0,2026-06-18T21:33:53
2026-06-20,2110000,275.1,3441.0,0.0,2026-06-20T16:21:27
2026-06-22,2095000,267.0,3432.0,0.0,2026-06-22T23:17:57
2026-06-23,2150000,275.95,3423.43,0.0,2026-06-23T21:38:29
2026-06-24,2165000,277.2,3432.0,0.0,2026-06-24T13:40:52
2026-06-26,2145000,273.2,3451.0,0.0,2026-06-26T20:12:42
2026-06-29,2176000,277.8,3451.0,0.0,2026-06-29T21:03:48
2026-06-30,2280000,296.45,3415.25,0.0,2026-06-30T13:48:07
2026-07-01,2320000,309.9,3371.99,0.0,2026-07-01T15:49:57
2026-07-02,2250000,301.2,3361.05,0.0,2026-07-02T20:57:47
